codigo,descricao,tamanho,valor,valor_promocao,quantidade
31,CALCA MOLETON AVULSA INFANTIL,,0.99,,1
62,CALCA DIRVAL MOLETON AD,,1.99,,1
93,CALCA SAVILE SOCIAL AD,,4.99,,1
147,CALCA INFANTUS JEANS BIG INF 08 16R,,4.99,,1
161,MAIO GAROTA DOURADA LYCRA AD,,4.99,,1
246,CALCA COSMOS MOLETON PELUCIADA C  F,,4.99,,1
505,CALCA ANDREZA MOLETON 02 06.,,1.99,,1
529,CALCA MARCELO BETONIC LEGEND SOCIAL,,5.99,,1
680,CALCA ARTE COR MOLETON,,0.99,,1
802,CALCA MALWEE MOLETON COR 04 08,,4.99,,1
857,CALCA AKTOOS SARJA MASCULINA,,14.99,,1
970,CALCA MALWEE MOLETON COR 10 16,,16.99,,1
1236,CALCA PERUSIN SARJA MASC,,7.99,,1
1410,CALCA SALDO DIVERSOS,,4.99,,1
1489,CALCA VANCALE PRESP FEM,,14.99,,1
1557,CALCA RIFFY AMERICANA CLARA,,4.99,,1
1618,CALCA RIFFY SARJA AD,,9.99,,1
1861,CESTA SIAMAR REF 5003,,22.99,,1
1908,CALCA VANCALE FEM MODINHA REF 366,,4.99,,1
1946,CALCA MALWEE MOLETON MESCLA PMG,,16.99,,1
1977,VESTIDO SANGROS EST INF 04 08,,2.99,,1
2400,CHINELO BALINA POP COLORIDO AD,,5.99,,1
2639,CHINELO BALINA POP COLORIDO INF,,1.99,,1
3261,TENIS DIVERSOS SALDO INFANTIL,,4.99,,1
3780,MEIA QUELOT SOCIAL ADULTO,,1.50,,1
3803,MEIA RIKAM SOCIAL,,1.90,,1
3827,MEIA CALCA TRIFFIL EUROPEU WO6329,,6.99,,1
3841,MEIA SELENE 7035 7036 PANTUFA AD FE,,8.99,,1
3865,MEIA BROOKLIN SOCIAL AD,,0.99,,1
3896,MEIA RIKAM SOQUETE ALG 1201 ESPORT,,3.50,,1
3988,MEIA SELENE SOQUETE 7750 C SOLA AD,,19.99,,1
4015,MEIA SELENE 5110 RED BULL JUV 34-38,,5.99,,1
4022,JAQUETA CAMERON FUN REPUBLIC COURO,,189.99,,1
4046,MEIA PRETTY KIDS INF,,1.20,,1
4091,MEIA SELENE 2400 241003 241002 INF,,6.99,,1
4107,MEIAS SALDO DIVERSAS,,2.99,,1
4121,KIT MEIA SELENE 4001 CANO C 3PC MAS,,8.99,,1
4312,CUECA KEPPER ALG AD,,1.30,,1
4367,CUECA KEPPER ALG INF,,0.95,,1
4374,CUECA ELLEN ALG AD,,1.99,,1
4596,SOUTIEN DE MILLUS LYCRA,,2.99,,1
4626,CALCINHA VIVIANE INF,,1.0,,1
4664,CALCINHA MEIGO DESEJO LYCRA,,2.50,,1
4718,SOUTIEN INTIMUS LYCRA,,13.99,,1
4749,SOUTIEN MEIGO DESEJO LYCRA,,2.99,,1
4756,CALCOLA SENY LYCRINHA AD REF 04,,3.50,,1
4855,CUECA SENY INF EST LISA,,1.50,,1
4879,CALCINHA SENY ALG EST LISA INF,,1.40,,1
4886,SOUTIEN SENY LYCRA AD REF 056,,3.99,,1
5135,CALCA FLUKE COURINO FEM,,4.99,,1
5142,TOALHA TEKA BANHO FLORENCE BORDADA,,4.99,,1
5159,TOALHA TEKA ROSTO FLORENCE BORDADA,,4.99,,1
5203,BABADOR SIAMAR REF 018,,4.99,,1
5340,PIJAMA SONHO FELIZ LONGO INFANTIL,,8.99,,1
5395,CAMISETA CLEOMARA M M 02 08 INF,,3.50,,1
5579,SOUTEIN MARILAN COTTON REF 101 752,,6.99,,1
5609,SOUTIEN MARILAN REF 101 717,,6.99,,1
5722,CALCINHA MARILAN LYCRA,,2.99,,1
5807,COLCHA TEKA JUVENIL MAGIA,,4.99,,1
5869,EDREDON TEKA BERCO TEKINHA BABY,,26.99,,1
5876,FRONHA TEKA LISA E ESTAMPADA 186200,,1.99,,1
5883,JOGO BERCO TEKA 03 PC TEKINHA BABY,,23.99,,1
5890,JOGO CAMA TEKA SOLTEIRO DUPLO CLASS,,30.99,,1
5906,JOGO CAMA TEKA CASAL ELEGANCE,,48.99,,1
6071,TOALHA TEKA BANHAO KG,,19.99,,1
6088,TOALHA TEKA BANHO SAFIRA,,9.99,,1
6095,TOALHA TEKA INF C CAPUZ TEKINHA BAB,,15.99,,1
6101,TOALHA TEKA PISO COLORS,,4.99,,1
6125,TOALHA TEKA MESA 140X140 VALENCIA,,29.99,,1
6132,TOALHA TEKA MESA 140X250 REF 756540,,4.99,,1
6149,TOALHA TEKA MESA REDONDA160 906174,,4.99,,1
6156,TOALHA TEKA PRAIA FELPUDA TUNIS,,12.99,,1
6170,TOALHA TEKA ROSTO FELPUDA,,1.99,,1
6200,EDREDON TEKA CASAL ELEGANCE 435278,,59.99,,1
6248,TOALHA TEKA MESA 140X210 REF 906167,,4.99,,1
6262,JOGO CAMA TEKA CASAL SIMPLES TERNUR,,29.99,,1
6279,JOGO CAMA TEKA SOLTEIRO SIMPLES TER,,4.99,,1
6286,JOGO CAMA TEKA SOLTEIRO DUPLO TERNU,,4.99,,1
6293,JOGO CAMA TEKA CASAL DUPLO TERNURA,,4.99,,1
6309,TOALHA TEKA BANHO DANUBIO REF 00241,,4.99,,1
6316,TOALHA TEKA ROSTO DANUBIO REF570993,,3.50,,1
6323,TOALHA TEKA INF TEKINHA KIDS,,9.99,,1
6330,COLCHA TEKA CASAL RENDADA,,11.99,,1
6378,TOALHA TEKA BANHO BORDADA ISABELLE,,4.99,,1
6385,ROUPAO TEKA INFANTIL,,7.99,,1
6491,TOALHA TEKA ROSTO BORDADA ISABELLE,,4.99,,1
6590,JOGO CAMA TEKA INF TEKINHA 3PCS 788,,4.99,,1
6637,JOGO CAMA TEKA SOLT TEKINHA TEENS,,4.99,,1
6644,TOALHA TEKA GIGANTE FIRTS CLASS,,23.99,,1
6668,LENCOL TEKA SOLTEIRO QUILO MISTO,,12.99,,1
6675,LENCOL TEKA CASAL MISTO QUILO,,4.99,,1
6682,JOGO CAMA TEKA SOLT TEKINHA 2PC,,18.99,,1
6712,TOALHA TEKA BANHAO EXPORT 253551,,4.99,,1
6750,EDREDON TEKA CASAL CLASSIC 934696,,49.99,,1
6774,ROUPAO TEKA AVELUDADO UNISSEX,,29.99,,1
6781,ROUPAO TEKA UNIQUE UNISSEX,,49.99,,1
6811,JOGO BERCO TEKA 02 PC SONINHO,,13.99,,1
6859,TOALHA TEKA BANHO TERNURA,,4.99,,1
6866,TOALHA TEKA BANHO 1 50,,4.99,,1
6880,CAMISETA CLEOMARA REGATA 02 08,,3.50,,1
6897,BLUSA ABNER HELANCA AD,,1.99,,1
7115,CAMISETA MALWEE REF 4665 4 8,,8.99,,1
7139,BLUSA ABNER TULY AD,,4.99,,1
7306,CAMISETA RED SUN MALHA 04 14 ML,,0.99,,1
7320,CAMISETA FINE COLLECTION REGATA,,4.99,,1
7405,BLUSAO ANDREZA MOLETON 02 06,,2.99,,1
7597,CAMISA MALHAS TREZE POLO,,6.99,,1
7627,BLUSA DUBLACK RIBANA 04 08 REF 4105,,4.99,,1
8037,BLUSA SANGROS M M FEM 04 12,,1.99,,1
8075,MODINHA DIVERSIFICADAS,,1.99,,1
8105,BLUSAO ANDREZA MOLETON AD,,2.99,,1
8181,TOMARA QUE CAIA POP ART HELANCA REF,,4.99,,1
8877,CAMISA MAC GIANT CAMBRAIA MC 2501,,17.99,,1
9362,BLUSAO MALWEE MOLETON REF4628 10 16,,15.99,,1
9386,CAMISA MAC GIANT FIO TINTO 05 06 MC,,15.99,,1
9553,BLUSA ANJOTEX MALANGE M L REF 304,,4.99,,1
9713,BLUSA ANJOTEX VISCOLY DIVERSAS PMG,,12.99,,1
9744,CAMISA MAC GIANT MALHA JACKAR,,8.99,,1
