codigo,descricao,valor_promocao,loja
000000772808,MALA CRUZEIRO 11001 BORDO LEGADO UNICO,199.99,16
000000772815,MALA CRUZEIRO 11003 BORDO LEGADO UNICO,199.99,16
000000772822,MALA CRUZEIRO 11009 BORDO LEGADO UNICO,199.99,16
000000677745,BONE GANGSTER ALG 60140013 AD MAS LEGADO UNICO,29.99,16
000000755658,BONE GANGSTER ALG 60250095 AD MAS LEGADO,29.99,16
000000769853,BOLSA SIDEWAY COURO SDXJ515 FEM LEGADO,29.99,16
000000769891,MOCHILA SIDEWAY PELUCIA SDWX661 INF LEGADO UNICO,29.99,16
000000769839,SKATE BRINQUEDO SIDEWAY SD236 LEGADO,9.99,16
000000769945,CINTO SIDEWAY PU SDYD42 MASC LISO LEGADO UNICO,14.99,16
000000769952,CINTO SIDEWAY PU SDYD42 MASC TRABAL LEGADO UNICO,14.99,16
000000680882,SQUEEZE PLASDU 470466 1LITRO BELIEV LEGADO UNICO,9.99,16
000000759434,CANECA PLASUTIL 14446 MINNIE 360ML LEGADO UNICO,9.99,16
000000759519,COPO PLASUTIL 17104 STAR WARS 500ML LEGADO,9.99,16
000000680844,SQUEEZE PLASDUR 470470 750ML BELIEV LEGADO UNICO,9.99,16
000000770002,BOIA SIDEWAY PLAST SDBB3 INFANTIL LEGADO,9.99,16
000000680820,SQUEEZE PLASDURAN 470306 600 ML LEGADO UNICO,4.99,16
000000680837,SQUEEZE PLASDURAN 470495 720ML PET LEGADO UNICO,4.99,16
000000759649,SANDUICHEIRA PLASUTIL 1315 LEGADO UNICO,4.99,16
000000707572,SABONETEIRA PLASUTIL 16034 H ARANHA LEGADO,4.99,16
000000780490,BONE GANGSTER ALG 60250190 AD MAS LEGADO,39.99,16
000000495790,GRAVATA HAD SEDA,14.99,16
000000707541,SQUEEZE PLASDU 470313 1000ML STITCH,14.99,16
000000759717,POTE PIPOCA PLASUT 15833 STITCH 2.1 LEGADO,14.99,16
000000764360,SQUEEZE PLASDU 471159 STITCH,14.99,16
000000707527,SQUEEZE PLASDU 470332 600ML STITCH,9.99,16
000000759687,SANDUICHEIRA PLASUTIL 17111 STITCH LEGADO UNICO,9.99,16
000000537001,SUPORTE VEICULAR MAGNE ECCH2,4.99,16
000000536974,CARREGADOR USB DE PAREDE WC1AE,4.99,16
000000536998,SUPORTE VEICULAR SAIDA ECCH1,4.99,16
000000536929,CABO APPLE LIGHTNING S810 LEGADO UNICO,4.99,16
000000536943,CABO MICRO USB EC510PT LEGADO UNICO,4.99,16
000000536967,CARREGADOR USB VEICULAR CC1SE LEGADO UNICO,4.99,16
000000536950,CABO ESTEREO AUXILIAR ECAUX1 LEGADO UNICO,4.99,16
000000537056,CINTO JAMES ANIMAL PRINT,4.99,16
000000554930,CINTO JAMES CORDAO FEM,4.99,16
000000575065,MOCHILA JAMES TECIDO,19.99,16
000000517447,BOLSA JAMES COURINO 8781 PRAIA,4.99,16
000000593045,CAMISETA 1BIGO MM 202132 4A8 ML,9.99,16
000000460453,CINTO JAMES SINTETICO DUPLA FACE MA,9.99,16
000000623896,GRAVATA WATKINS KROWN 9001 LISA,4.99,16
000000605106,OCULOS TRITON UL0067 CLARO FEM TART LEGADO UNICO,4.99,16
000000605120,OCULOS TRITON UL0087 CLARO FEM MARR LEGADO UNICO,4.99,16
000000605137,OCULOS TRITON UL0051 CLARO FEM TART LEGADO UNICO,4.99,16
000000605168,OCULOS TRITON UL0059 CLARO FEM PRET LEGADO UNICO,4.99,16
000000605359,MASCARA MAX ANTIVIRAL ANTIBACTERIAN,4.99,16
000000658140,MOCHILA GANGSTER 60240013 AD MAS LEGADO UNICO,69.99,16
000000658157,MOCHILA GANGSTER 60240011 AD MAS LEGADO UNICO,69.99,16
000000658089,BOLSA GANGSTER ALG 60040043 ACADEMI,69.99,16
000000658096,BOLSA GANGSTER ALG 60040044 ACADEMI,69.99,16
000000658102,BOLSA GANGSTER ALG 60040047 ACADEMI,59.99,16
000000630788,BONE GANGSTER ALG SINT 60260345,24.99,16
000000630849,BONE GANGSTER ALG SINT 60260359,24.99,16
000000630856,BONE GANGSTER ALG SINT 60260362,24.99,16
000000630894,BONE GANGSTER ALG SINT 60260368,24.99,16
000000658065,BOLSA GANGSTER ALG 60040024 AD MAS,29.99,16
000000658072,BOLSA GANGSTER ALG 60040029 AD MAS,29.99,16
000000658201,BONE GANGSTER ALG 60140031 AD MAS,24.99,16
000000658195,BONE GANGSTER ALG 60140024 AD MAS LEGADO UNICO,24.99,16
000000630887,BONE GANGSTER ALG SINT 60260366,24.99,16
000000630917,BONE GANGSTER ALG SINT 60260370,24.99,16
000000648998,BONE GANGSTER ALG SINT 60260350,24.99,16
000000669580,BOLSA JAMES PLASTICO PRAIA MEDIO FE,14.99,16
000000661218,CHAPEU OVERCORE ALG SINT 60400006 M LEGADO UNICO,14.99,16
000000538053,CINTO JAMES 2 FIVELAS FEM,14.99,16
000000704953,MOCHILA GANSGTER 60240015 AD MASC,79.99,16
000000702706,BOLSA MOLECA 50007.1 PVC PRETO-PRET,49.99,16
000000702713,BOLSA MOLECA 50007.1 PVC NUDE,49.99,16
000000702720,BOLSA MOLECA 50007.1 PVC PINK,49.99,16
000000702737,BOLSA MOLECA 50007.1 PVC JEANS,49.99,16
000000702744,BOLSA MOLECA 50007.1 PVC PRETO-DOUR,49.99,16
000000702751,BOLSA MOLECA 50007.1 PVC BRANCO-DOU,49.99,16
000000702768,BOLSA MOLECA 50042.1 PVC PRETO,49.99,16
000000702775,BOLSA MOLECA 50042.1 PVC BRANCO OFF,49.99,16
000000702782,BOLSA MOLECA 50042.1 PVC NUDE,49.99,16
000000702799,BOLSA MOLECA 50041.1 PVC PRETO,49.99,16
000000702805,BOLSA MOLECA 50041.1 PVC PINK,49.99,16
000000702812,BOLSA MOLECA 50041.1 PVC BRANCO OFF,49.99,16
000000711739,BOLSA ALICE SINT GW2568K COSTAS M,39.99,16
000000630870,BONE GANGSTER ALG SINT 60260365,24.99,16
000000658263,BONE GANGSTER ALG 60250020 AD MAS,24.99,16
000000700085,BONE GANGSTER ALG 60250071 AD,24.99,16
000000700108,BONE GANGSTER ALG 60250070 AD,24.99,16
000000700146,BONE GANGSTER ALG 60250053 AD,24.99,16
000000711647,BOLSA ALICE PU AL2396K TOTEBAG G,39.99,16
000000711678,BOLSA ALICE PU AL2741K TIRACOLO M,39.99,16
000000683005,BONE GANGSTER ALG 60140036 AD MAS LEGADO ZZ,24.99,16
000000700092,BONE GANGSTER ALG 60250057 AD,24.99,16
000000700122,BONE GANGSTER ALG 60250044 AD,24.99,16
000000700139,BONE GANGSTER ALG 60250041 AD,24.99,16
000000700153,BONE GANGSTER ALG 60250054 AD,24.99,16
000000704977,CARTEIRA GANGSTER 60280023 AD MASC,29.99,16
000000707510,LANCHEIRA PLASUTIL 15955 H ARANHA,24.99,16
000000711661,BOLSA ALICE PU AL2740K TRANSVERSAL,29.99,16
000000711654,BOLSA ALICE PU AL2739K TRANSVERSAL,29.99,16
000000688215,DRIFT CARRO POLIBRINK PLAST CAR701,14.99,16
000000688239,CONSTR BLOCKS POLIBRINK PLAST BK001,9.99,16
000000688284,OVO DINO POLIBRINK PLAST AN0012 LEGADO UNICO,14.99,16
000000711722,GUARDA CHUVA SUSINO SS022ML SS022MT,14.99,16
000000669757,GRAVATA NOVA GERACAO SEDA AD,9.99,16
000000623902,GRAVATA WATKINS KROWN 19005 ESTAMPA,9.99,16
000000680134,DOSADOR LEITE PLASUTIL 13727 MENINA,9.99,16
000000680141,DOSADOR LEITE PLASUTIL 15369 MENINO,9.99,16
000000680158,GARRAFA PLASUTIL 13449 FITNESS 1LIT,9.99,16
000000680165,GARRAFA PLASUTIL 7867 RETRO 1LITRO,9.99,16
000000688345,KIT BELEZA POLIBRINK PLAST MK09,9.99,16
000000680059,CANECA PLASUTIL PLAST 9316 MENINA,9.99,16
000000680066,CANECA PLASUTIL PLAST 4059 MENINO,9.99,16
000000680196,GARRAFA PLASUTIL 14491 HULK 530ML,9.99,16
000000680226,GARRAFA PLASUTIL 8953 H.ARANHA 500M,9.99,16
000000708067,SHAKEIRA PLASUTIL 5706 580ML,9.99,16
000000707596,SHAKEIRA PLASUTIL 15835 580 ML FITN,7.99,16
000000556385,CINTO JAMES PALHA ELASTADO FEM,7.99,16
000000680257,GUARDA TUDO PLASUTIL 2488 DUPLO 4X4,7.99,16
000000680349,SANDUICHEIRA PLASUTIL 6207 HULK,7.99,16
000000688277,DINO CLIK POLIBRINK PLAST 2316,7.99,16
000000688291,TURMA DA MANU POLIBRINK PLAS BN5092,7.99,16
000000688338,UNICORNIO POLIBRINK PLAST AN2004,7.99,16
000000680356,SANDUICHEIRA PLASUTIL 6581 MICKEY,4.99,16
000000707473,ESTOJO LUDICO PLASUTIL 16244 MICKEY,4.99,16
000000680295,SABONETEIRA PLASUTIL 7932 FROZEN,4.99,16
000000681049,NEW SQUEEZE CEARA URBAN MAX096 500M,4.99,16
000000681056,NEW SQUEEZE FORTALEZA MAX097 500ML,4.99,16
000000772846,MALA CRUZEIRO 11007 BORDO,199.99,16
000000734608,MOCHILA OLYMPIKU LONA OISB241825 PR,149.99,16
000000734646,BOLSA OLYMPIKUS POLI OIWB231810 GYM,99.99,16
000000755665,MOCHILA GANGSTER 60240021 AD MAS,99.99,16
000000755696,MOCHILA GANGSTER 60240128 AD MAS,99.99,16
000000768634,MOCHILA GANGSTER 60240130 AD MASC LEGADO UNICO,99.99,16
000000704960,MOCHILA GANSGTER 60240014 AD MASC LEGADO UNICO,99.99,16
000000760829,MINI BAG OLYMPIKUS POLY OIWB241813,69.99,16
000000734585,MOCHILA OLYMPIKUS LONA OIWB221808,59.99,16
000000704984,CARTEIRA GANGSTER 60280026 AD MASC,39.99,16
000000705011,CARTEIRA GANGSTER 60280028 AD MASC,39.99,16
000000755597,BONE GANGSTER ALG 60250097 AD MAS,29.99,16
000000755702,CARTEIRA GANGSTER 60280022 AD MASC,39.99,16
000000769860,BOLSA SIDEWAY COURO SDXJ437 FEM,29.99,16
000000769877,BOLSA SIDEWAY COURO SDL14W9 FEM,29.99,16
000000769921,MOCHILA SIDEWAY COURO SDLTW9887 AD,29.99,16
000000755627,BONE GANGSTER ALG 60250084 AD MAS LEGADO ZZ,29.99,16
000000658225,BONE GANGSTER ALG 60250011 AD MAS,29.99,16
000000668781,BONE GANGSTER ALG 60140015 AD MAS,29.99,16
000000661225,CHAPEU OVERCORE ALG SINT 60400001 M,29.99,16
000000704991,CARTEIRA GANGSTER 60280027 AD MASC,29.99,16
000000700078,CINTO CORRENTE FY2108370 DOURADO,19.99,16
000000680264,KIT HIGIENE PLASUTIL 9692 MENINA 02,19.99,16
000000769938,CARTEIRA SIDEWAY COURO SDOL006 MASC,14.99,16
000000769969,CINTO SIDEWAY PU SDYD42 MASC ELASTI,14.99,16
000000759588,GARRAFA PLASUTI 16297 ATLETICO 530M,14.99,16
000000759595,GARRAFA PLASUTI 16283 CRUZEIRO 530M,14.99,16
000000759625,GARRAFA PLASUTIL 17105 STAR WA 600M,14.99,16
000000759632,GARRAFA PLASUTIL 16693 STITCH 600ML,14.99,16
000000769822,CARRINHOS SIDEWAY CD021580,14.99,16
000000769846,BEYBLADE BRINQUEDO SIDEWAY CP060215,14.99,16
000000669566,CINTO JAMES SINTETICO FIV STRASS FE,14.99,16
000000680080,CANECA PLASUTIL PLAST 7747 MINNIE,14.99,16
000000707435,CANECA PLASUTIL 15957 360ML H ARANH,14.99,16
000000707503,GARRAFA PLASUTIL 16038 530ML H ARAN,14.99,16
000000759458,COPO PLASUTIL 16301 ATLETICO 700ML,9.99,16
000000759465,COPO PLASUTIL 16287 CRUZEIRO 700ML,9.99,16
000000669573,CINTO JAMES SINTE FIV METALISADO FE,9.99,16
000000680325,SANDUICHEIRA PLASUTIL 15083 MINNIE,9.99,16
000000707497,GARRAFA PLASUTIL 14495 CARROS,9.99,16
000000680875,SQUEEZE PLASDU 470493 750ML CONSTEL,9.99,16
000000680073,CANECA PLASUTIL PLAST 7108 MICKEY,9.99,16
000000680172,GARRAFA PLASUTIL 14582 BATMAN 530ML,9.99,16
000000680202,GARRAFA PLASUTIL 15272 LOONEY 530ML,9.99,16
000000680219,GARRAFA PLASUTIL 8975 BATMAN 500ML,9.99,16
000000680233,GARRAFA PLASUTIL 1066 MINIONS 500ML,9.99,16
000000764438,SQUEEZE PLASDU 471307 700ML,4.99,16
000000605113,OCULOS TRITON UL0087 CLARO FEM PRET,4.99,16
000000605144,OCULOS TRITON UL0050 CLARO FEM PRET,4.99,16
000000605182,OCULOS TRITON UL0067 CLARO FEM MARR,4.99,16
000000605205,OCULOS TRITON UL0059 CLARO FEM MARR,4.99,16
000000680868,SQUEEZE PLASDURAN 470279 600ML NEON,4.99,16
000000707480,ESTOJO LUDICO PLASUTIL 16242 MINNIE,4.99,16
000000605212,OCULOS TRITON UL0059 CLARO FEM TART,4.99,16
000000708074,GARRAFA PLASUTIL  13539 530ML,4.99,16
000000680127,COPO PLASUTIL PLAST 8293 FROZEN 320,4.99,16
000000681063,NEW SQUEEZE HORIZONTE MAX098 500ML,4.99,16
000000759489,COPO PLASUTIL 1068 MINIONS 320ML,4.99,16
000000762786,COPO PLASUTIL 14710 DINOSSAURO 320M,4.99,16
000000762793,COPO PLASUTIL 14650 CASA MAGIC 320M,4.99,16
000000762809,COPO PLASUTIL 903 AGNES 320ML,4.99,16
000000734622,MOCHILA OLYMPIKUS POLI OIWB221806,99.99,16
000000760812,MOCHILA OLYMPIKUS POLY OIWB241812,99.99,16
000000760805,CINTO CORRIDA OLYMPIKUS OIWB231818,79.99,16
000000734653,SHOUDER BAG OLYMPIKUS OIWB231817 MR,79.99,16
000000780421,BONE GANGSTER ALG 60250191 AD MAS,39.99,16
000000780469,BONE GANGSTER ALG 60250189 AD MAS,39.99,16
000000780476,BONE GANGSTER ALG 60250194 AD MAS,39.99,16
000000780483,BONE GANGSTER ALG 60250192 AD MAS,39.99,16
000000791779,BONE GANGSTER ALG 60250202 AD MASC,39.99,16
000000791786,BONE GANGSTER ALG 60250198 AD MASC,39.99,16
000000791793,BONE GANGSTER ALG 60250188 AD MASC,39.99,16
000000791809,BONE GANGSTER ALG 60250201 AD MASC,39.99,16
000000805278,BONE GANGSTER ALG 60250230 AD MASC,39.99,16
000000805285,BONE GANGSTER ALG 60250204 AD MASC,39.99,16
000000805292,BONE GANGSTER ALG 60250207 AD MASC,39.99,16
000000805315,BONE GANGSTER ALG 60250211 AD MASC,39.99,16
000000805322,BONE GANGSTER ALG 60250233 AD MASC,39.99,16
000000805339,BONE GANGSTER ALG 60250215 AD MASC,39.99,16
000000805360,BONE GANGSTER ALG 60250247 AD MASC,39.99,16
000000805377,BONE GANGSTER POLIE 60250258 AD Sortida ZZ,39.99,16
000000805384,BONE GANGSTER ALG 60250265 AD MASC Sortida UNICO,39.99,16
000000805414,CINTO GANGSTER ELAST 60150107 AD VD Sortida UNICO,39.99,16
000000791960,LANCHEIRA PLASUTIL 17504 STITCH,39.99,16
000000791991,PORTA CANETA PLASUTIL 15897 STITCH,39.99,16
000000804288,BONE DIXIE ALG 60250216 AD MASC,39.99,16
000000804295,BONE DIXIE ALG 60250217 AD MASC,39.99,16
000000804301,BONE DIXIE ALG 60250220 AD MASC,39.99,16
000000638739,CINTO JAMES CORRENTE FEM PMG LEGADO P,29.99,16
000000733328,CINTO ANA CASTELA KF2305-37 FEM,29.99,16
000000434126,CINTO LEF LONA NF66-137-120-64-131 LEGADO UNICO,19.99,16
000000509688,CINTO JAMES SINTETICO D FACE LARGO LEGADO UNICO,19.99,16
